step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
72,7.2,4.637631,12.328864,-2.876078,4.637631,12.328864,-2.876078,0.0,0.0
73,7.3,4.580364,12.31096,-2.838578,4.580364,12.31096,-2.838578,0.0,0.0
74,7.4,4.523809,12.290922,-2.801078,4.523809,12.290922,-2.801078,0.0,0.0
75,7.5,4.468045,12.268777,-2.763578,4.468045,12.268777,-2.763578,0.0,0.0
76,7.6,4.413151,12.244557,-2.726078,4.413151,12.244557,-2.726078,0.0,0.0
77,7.7,4.359203,12.218297,-2.688578,4.359203,12.218297,-2.688578,0.0,0.0
78,7.8,4.306277,12.190032,-2.651078,4.306277,12.190032,-2.651078,0.0,0.0
79,7.9,4.254449,12.159803,-2.613578,4.254449,12.159803,-2.613578,0.0,0.0
80,8.0,4.20379,12.127652,-2.576078,4.20379,12.127652,-2.576078,0.0,0.0
81,8.1,4.154372,12.093624,-2.538578,4.154372,12.093624,-2.538578,0.0,0.0
82,8.2,4.106265,12.057768,-2.501078,4.106265,12.057768,-2.501078,0.0,0.0
83,8.3,4.059536,12.020133,-2.463578,4.059536,12.020133,-2.463578,0.0,0.0
84,8.4,4.014251,11.980772,-2.426078,4.014251,11.980772,-2.426078,0.0,0.0
85,8.5,3.970473,11.939742,-2.388578,3.970473,11.939742,-2.388578,0.0,0.0
86,8.6,3.928264,11.897099,-2.351078,3.928264,11.897099,-2.351078,0.0,0.0
87,8.7,3.887684,11.852904,-2.313578,3.887684,11.852904,-2.313578,0.0,0.0
88,8.8,3.848789,11.807218,-2.276078,3.848789,11.807218,-2.276078,0.0,0.0
89,8.9,3.811634,11.760106,-2.238578,3.811634,11.760106,-2.238578,0.0,0.0
90,9.0,3.776272,11.711634,-2.201078,3.776272,11.711634,-2.201078,0.0,0.0
91,9.1,3.742751,11.661871,-2.163578,3.742751,11.661871,-2.163578,0.0,0.0
92,9.2,3.71112,11.610886,-2.126078,3.71112,11.610886,-2.126078,0.0,0.0
93,9.3,3.681423,11.558751,-2.088578,3.681423,11.558751,-2.088578,0.0,0.0
94,9.4,3.653701,11.505539,-2.051078,3.653701,11.505539,-2.051078,0.0,0.0
95,9.5,3.627994,11.451325,-2.013578,3.627994,11.451325,-2.013578,0.0,0.0
96,9.6,3.604337,11.396185,-1.976078,3.604337,11.396185,-1.976078,0.0,0.0
97,9.7,3.582765,11.340198,-1.938578,3.582765,11.340198,-1.938578,0.0,0.0
98,9.8,3.563306,11.283441,-1.901078,3.563306,11.283441,-1.901078,0.0,0.0
99,9.9,3.545989,11.225994,-1.863578,3.545989,11.225994,-1.863578,0.0,0.0
100,10.0,3.530838,11.167939,-1.826078,3.530838,11.167939,-1.826078,0.0,0.0
101,10.1,3.517874,11.109356,-1.788578,3.517874,11.109356,-1.788578,0.0,0.0
102,10.2,3.507116,11.050328,-1.751078,3.507116,11.050328,-1.751078,0.0,0.0
103,10.3,3.498578,10.990939,-1.713578,3.498578,10.990939,-1.713578,0.0,0.0
104,10.4,3.492273,10.931271,-1.676078,3.492273,10.931271,-1.676078,0.0,0.0
105,10.5,3.488209,10.871409,-1.638578,3.488209,10.871409,-1.638578,0.0,0.0
106,10.6,3.486392,10.811436,-1.601078,3.486392,10.811436,-1.601078,0.0,0.0
107,10.7,3.486825,10.751438,-1.563578,3.486825,10.751438,-1.563578,0.0,0.0
108,10.8,3.489507,10.691498,-1.526078,3.489507,10.691498,-1.526078,0.0,0.0
109,10.9,3.494435,10.6317,-1.488578,3.494435,10.6317,-1.488578,0.0,0.0
110,11.0,3.501601,10.57213,-1.451078,3.501601,10.57213,-1.451078,0.0,0.0
111,11.1,3.510995,10.51287,-1.413578,3.510995,10.51287,-1.413578,0.0,0.0
112,11.2,3.522605,10.454004,-1.376078,3.522605,10.454004,-1.376078,0.0,0.0
113,11.3,3.536413,10.395614,-1.338578,3.536413,10.395614,-1.338578,0.0,0.0
114,11.4,3.5524,10.337784,-1.301078,3.5524,10.337784,-1.301078,0.0,0.0
115,11.5,3.570545,10.280593,-1.263578,3.570545,10.280593,-1.263578,0.0,0.0
116,11.6,3.590821,10.224123,-1.226078,3.590821,10.224123,-1.226078,0.0,0.0
117,11.7,3.6132,10.168452,-1.188578,3.6132,10.168452,-1.188578,0.0,0.0
118,11.8,3.63765,10.11366,-1.151078,3.63765,10.11366,-1.151078,0.0,0.0
119,11.9,3.664137,10.059823,-1.113578,3.664137,10.059823,-1.113578,0.0,0.0
120,12.0,3.692624,10.007017,-1.076078,3.692624,10.007017,-1.076078,0.0,0.0
