step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
68,6.8,4.872189,12.378678,-3.026078,4.700531,12.347793,-2.913036,0.174414,-6.4768
69,6.9,4.81289,12.369533,-2.988578,4.641688,12.331763,-2.875637,0.175318,-6.471
70,7.0,4.753975,12.358171,-2.951078,4.580688,12.31236,-2.833624,0.17924,-6.7296
71,7.1,4.695528,12.344608,-2.913578,4.525544,12.292421,-2.79464,0.177815,-6.8147
72,7.2,4.637631,12.328864,-2.876078,4.468868,12.269585,-2.758567,0.178871,-6.7329
73,7.3,4.580364,12.31096,-2.838578,4.409393,12.242857,-2.719236,0.184036,-6.8378
74,7.4,4.523809,12.290922,-2.801078,4.352759,12.214775,-2.681271,0.187234,-6.8644
75,7.5,4.468045,12.268777,-2.763578,4.296233,12.183991,-2.642907,0.191593,-6.9139
76,7.6,4.413151,12.244557,-2.726078,4.242437,12.152037,-2.60561,0.194174,-6.9023
77,7.7,4.359203,12.218297,-2.688578,4.192722,12.119617,-2.563731,0.19353,-7.1532
78,7.8,4.306277,12.190032,-2.651078,4.142606,12.084006,-2.523809,0.195012,-7.292
79,7.9,4.254449,12.159803,-2.613578,4.092776,12.045625,-2.485262,0.197926,-7.352
80,8.0,4.20379,12.127652,-2.576078,4.045633,12.006167,-2.444705,0.199429,-7.5271
81,8.1,4.154372,12.093624,-2.538578,3.99961,11.964483,-2.405614,0.201566,-7.6183
82,8.2,4.106265,12.057768,-2.501078,3.954667,11.920239,-2.364033,0.204685,-7.8521
83,8.3,4.059536,12.020133,-2.463578,3.910183,11.872788,-2.323941,0.209801,-8.0006
84,8.4,4.014251,11.980772,-2.426078,3.869925,11.826549,-2.287157,0.211222,-7.9596
85,8.5,3.970473,11.939742,-2.388578,3.828767,11.775147,-2.24597,0.217191,-8.1708
86,8.6,3.928264,11.897099,-2.351078,3.791658,11.72476,-2.205579,0.219913,-8.3365
87,8.7,3.887684,11.852904,-2.313578,3.755095,11.670603,-2.164645,0.225418,-8.5332
88,8.8,3.848789,11.807218,-2.276078,3.720422,11.614721,-2.126125,0.231372,-8.5917
89,8.9,3.811634,11.760106,-2.238578,3.686961,11.556047,-2.089087,0.239131,-8.5652
90,9.0,3.776272,11.711634,-2.201078,3.656792,11.497813,-2.048786,0.244939,-8.7257
91,9.1,3.742751,11.661871,-2.163578,3.629133,11.438305,-2.005888,0.25078,-9.035
92,9.2,3.71112,11.610886,-2.126078,3.602998,11.376121,-1.96866,0.258466,-9.0194
93,9.3,3.681423,11.558751,-2.088578,3.582755,11.321839,-1.927753,0.256637,-9.2146
94,9.4,3.653701,11.505539,-2.051078,3.564031,11.264882,-1.888402,0.256819,-9.3207
95,9.5,3.627994,11.451325,-2.013578,3.545842,11.201939,-1.852109,0.262569,-9.2515
96,9.6,3.604337,11.396185,-1.976078,3.532292,11.146912,-1.812248,0.259476,-9.3868
97,9.7,3.582765,11.340198,-1.938578,3.519592,11.08507,-1.773333,0.262833,-9.4678
98,9.8,3.563306,11.283441,-1.901078,3.509239,11.022809,-1.735572,0.266181,-9.4828
99,9.9,3.545989,11.225994,-1.863578,3.501909,10.964811,-1.696509,0.264877,-9.5723
100,10.0,3.530838,11.167939,-1.826078,3.496544,10.904966,-1.660216,0.265199,-9.5032
101,10.1,3.517874,11.109356,-1.788578,3.493309,10.84053,-1.620956,0.269946,-9.604
102,10.2,3.507116,11.050328,-1.751078,3.492497,10.776316,-1.583436,0.274402,-9.6052
103,10.3,3.498578,10.990939,-1.713578,3.494014,10.715309,-1.545934,0.275668,-9.6053
104,10.4,3.492273,10.931271,-1.676078,3.49791,10.655095,-1.506193,0.276234,-9.7337
105,10.5,3.488209,10.871409,-1.638578,3.504245,10.594775,-1.46615,0.277098,-9.8794
106,10.6,3.486392,10.811436,-1.601078,3.513674,10.531454,-1.422978,0.281308,-10.2044
107,10.7,3.486825,10.751438,-1.563578,3.524717,10.473678,-1.381938,0.280332,-10.4072
108,10.8,3.489507,10.691498,-1.526078,3.538909,10.412573,-1.342589,0.283266,-10.5131
109,10.9,3.494435,10.6317,-1.488578,3.554367,10.355997,-1.304077,0.282143,-10.5711
110,11.0,3.501601,10.57213,-1.451078,3.574014,10.293796,-1.264857,0.287599,-10.6697
111,11.1,3.510995,10.51287,-1.413578,3.595389,10.234274,-1.226027,0.291097,-10.7459
112,11.2,3.522605,10.454004,-1.376078,3.620294,10.172654,-1.186692,0.297827,-10.851
113,11.3,3.536413,10.395614,-1.338578,3.643404,10.121207,-1.148615,0.294528,-10.8841
114,11.4,3.5524,10.337784,-1.301078,3.668518,10.069933,-1.115336,0.291937,-10.6422
115,11.5,3.570545,10.280593,-1.263578,3.697816,10.015963,-1.073461,0.293644,-10.8929
116,11.6,3.590821,10.224123,-1.226078,3.729981,9.961629,-1.036284,0.2971,-10.8744
117,11.7,3.6132,10.168452,-1.188578,3.762759,9.911161,-0.99479,0.297602,-11.1033
118,11.8,3.63765,10.11366,-1.151078,3.799404,9.859335,-0.955325,0.301406,-11.2159
119,11.9,3.664137,10.059823,-1.113578,3.83768,9.809497,-0.915878,0.304598,-11.3274
